,0,1,2,3,4,5
0,0,感受最正宗的京城范儿，北京5日玩法,0,天安门广场,116.397633984685,39.9054881306264
1,0,感受最正宗的京城范儿，北京5日玩法,1,故宫,116.3971546,39.9163447
2,0,感受最正宗的京城范儿，北京5日玩法,2,景山公园,116.396841615438,39.9250976057641
3,0,感受最正宗的京城范儿，北京5日玩法,3,什刹海,116.385311,39.941795
4,0,感受最正宗的京城范儿，北京5日玩法,4,天坛,116.412841796875,39.8837051391602
5,0,感受最正宗的京城范儿，北京5日玩法,5,前门大街,116.397983,39.898117
6,0,感受最正宗的京城范儿，北京5日玩法,6,国家大剧院,116.389838,39.90492
7,0,感受最正宗的京城范儿，北京5日玩法,7,西单商业街,116.374572083354,39.9078282559369
8,0,感受最正宗的京城范儿，北京5日玩法,8,明十三陵,116.223556011915,40.255147605593
9,0,感受最正宗的京城范儿，北京5日玩法,9,八达岭长城,116.02001953125,40.3597602844238
10,0,感受最正宗的京城范儿，北京5日玩法,10,奥林匹克公园,116.393096,40.009926
11,0,感受最正宗的京城范儿，北京5日玩法,11,798艺术区,116.495707631111,39.984128115252
12,0,感受最正宗的京城范儿，北京5日玩法,12,三里屯太古里,116.454154480202,39.9342036146057
13,0,感受最正宗的京城范儿，北京5日玩法,13,颐和园,116.275461420417,39.9999815330821
14,0,感受最正宗的京城范儿，北京5日玩法,14,圆明园,116.303579,40.007905
15,0,感受最正宗的京城范儿，北京5日玩法,15,北京大学,116.310868,39.992799
16,0,感受最正宗的京城范儿，北京5日玩法,16,清华大学,116.326788,40.003218
17,1,京郊环山绕水的风景，尽在古北水镇2日游,0,古北水镇,117.277314,40.654264
18,1,京郊环山绕水的风景，尽在古北水镇2日游,1,司马小烧酒坊,117.262622624884,40.645608270382
19,1,京郊环山绕水的风景，尽在古北水镇2日游,2,永顺染坊,117.26233294631,40.6456733946462
20,1,京郊环山绕水的风景，尽在古北水镇2日游,3,震远镖局,117.277004,40.652778
21,1,京郊环山绕水的风景，尽在古北水镇2日游,4,八旗会馆,117.278204,40.6536
22,1,京郊环山绕水的风景，尽在古北水镇2日游,5,司马台长城,117.278759,40.654791
23,2,游荡于紫禁城以北，胡同访古1日游,0,雍和宫,116.417289733887,39.9476699829102
24,2,游荡于紫禁城以北，胡同访古1日游,1,孔庙和国子监博物馆,116.41377,39.946711
25,2,游荡于紫禁城以北，胡同访古1日游,2,五道营胡同,116.416451349854,39.9483875502613
26,2,游荡于紫禁城以北，胡同访古1日游,3,南锣鼓巷,116.403064519166,39.9369853143445
27,2,游荡于紫禁城以北，胡同访古1日游,4,恭王府,116.386487856507,39.9357998889395
28,2,游荡于紫禁城以北，胡同访古1日游,5,什刹海酒吧街,116.390792,39.936204
29,3,沉醉在798，去鸟巢看夜景，文艺北京1日游,0,798艺术区,116.495707631111,39.984128115252
30,3,沉醉在798，去鸟巢看夜景，文艺北京1日游,1,雍和宫,116.417289733887,39.9476699829102
31,3,沉醉在798，去鸟巢看夜景，文艺北京1日游,2,五道营胡同,116.416451349854,39.9483875502613
32,3,沉醉在798，去鸟巢看夜景，文艺北京1日游,3,鸟巢（国家体育场）,116.3965112,39.9929431
33,3,沉醉在798，去鸟巢看夜景，文艺北京1日游,4,水立方（国家游泳中心）,116.390365600586,39.9929046630859
34,4,从天坛到王府井，只玩1日，这些地方必去！,0,天坛,116.412841796875,39.8837051391602
35,4,从天坛到王府井，只玩1日，这些地方必去！,1,前门大街,116.397983,39.898117
36,4,从天坛到王府井，只玩1日，这些地方必去！,2,大栅栏,116.394912719727,39.8957290649414
37,4,从天坛到王府井，只玩1日，这些地方必去！,3,天安门广场,116.397633984685,39.9054881306264
38,4,从天坛到王府井，只玩1日，这些地方必去！,4,中国国家博物馆,116.401584416627,39.9050931179564
39,4,从天坛到王府井，只玩1日，这些地方必去！,5,王府井,116.411178588867,39.9160957336426
40,5,下雪后的北京变“北平”，京城赏雪4日游,0,故宫,116.3971546,39.9163447
41,5,下雪后的北京变“北平”，京城赏雪4日游,1,景山公园,116.396841615438,39.9250976057641
42,5,下雪后的北京变“北平”，京城赏雪4日游,2,北海公园,116.3892639,39.9254474
43,5,下雪后的北京变“北平”，京城赏雪4日游,3,什刹海酒吧街,116.390792,39.936204
44,5,下雪后的北京变“北平”，京城赏雪4日游,4,恭王府,116.386487856507,39.9357998889395
45,5,下雪后的北京变“北平”，京城赏雪4日游,5,什刹海,116.385311,39.941795
46,5,下雪后的北京变“北平”，京城赏雪4日游,6,鼓楼,116.395919799805,39.9408149719238
47,5,下雪后的北京变“北平”，京城赏雪4日游,7,南锣鼓巷,116.403064519166,39.9369853143445
48,5,下雪后的北京变“北平”，京城赏雪4日游,8,八达岭长城,116.02001953125,40.3597602844238
49,5,下雪后的北京变“北平”，京城赏雪4日游,9,八达岭滑雪场,115.956198,40.349613
50,5,下雪后的北京变“北平”，京城赏雪4日游,10,春晖园温泉,116.49210357666,40.1275787353516
51,6,不到长城非好汉，八达岭长城1日游,0,八达岭长城,116.02001953125,40.3597602844238
52,6,不到长城非好汉，八达岭长城1日游,1,中国长城博物馆,116.009951770305,40.3580357682019
53,6,不到长城非好汉，八达岭长城1日游,2,詹天佑纪念馆,116.006790674586,40.3581576219081
54,7,园林学府1日游,0,颐和园,116.275461420417,39.9999815330821
55,7,园林学府1日游,1,圆明园,116.303579,40.007905
56,7,园林学府1日游,2,北京大学,116.310868,39.992799
57,7,园林学府1日游,3,清华大学,116.326788,40.003218
58,8,休闲观景，水长城蟒山两日游,0,黄花城水长城,116.314240172505,40.4097857137882
59,8,休闲观景，水长城蟒山两日游,1,军都温泉,116.266006469727,40.2397232055664
60,8,休闲观景，水长城蟒山两日游,2,蟒山国家森林公园,116.293539,40.264314
61,9,北京的“名片”全在这！观光访古3日游,0,天安门广场,116.397633984685,39.9054881306264
62,9,北京的“名片”全在这！观光访古3日游,1,王府井,116.411178588867,39.9160957336426
63,9,北京的“名片”全在这！观光访古3日游,2,北京全聚德(王府井店),116.412027,39.911801
64,9,北京的“名片”全在这！观光访古3日游,3,八达岭长城,116.02001953125,40.3597602844238
65,9,北京的“名片”全在这！观光访古3日游,4,明十三陵,116.223556011915,40.255147605593
66,9,北京的“名片”全在这！观光访古3日游,5,鸟巢（国家体育场）,116.3965112,39.9929431
67,9,北京的“名片”全在这！观光访古3日游,6,圆明园,116.303579,40.007905
68,9,北京的“名片”全在这！观光访古3日游,7,东来顺饭庄(中关村店),116.307563,39.982071
69,9,北京的“名片”全在这！观光访古3日游,8,颐和园,116.275461420417,39.9999815330821
